tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,dt_start_date,dt_starting_time,dt_starttime
910,2021-02-01 03:19:02.2020,2021-02-01 03:34:12.3490,267,Broadway & W 36 St,40.75097711,-73.98765428,267,Broadway & W 36 St,40.75097711,-73.98765428,45023,Customer,1969,0,2021-02-01,03:19:02.202000,2021-02-01 03:19:02.202
213,2021-02-01 03:21:07.6970,2021-02-01 03:24:41.1410,3786,Division St & Bowery,40.714193,-73.996732,408,Market St & Cherry St,40.71076228,-73.99400398,49097,Subscriber,1978,1,2021-02-01,03:21:07.697000,2021-02-01 03:21:07.697
471,2021-02-01 03:27:18.5480,2021-02-01 03:35:10.0500,3820,Willoughby Ave & Myrtle Ave,40.69757,-73.93098,3844,Myrtle Ave & Linden St,40.69943,-73.91337,49452,Subscriber,2000,1,2021-02-01,03:27:18.548000,2021-02-01 03:27:18.548
1906,2021-02-01 03:37:21.0470,2021-02-01 04:09:07.2530,267,Broadway & W 36 St,40.75097711,-73.98765428,474,5 Ave & E 29 St,40.7451677,-73.98683077,49835,Customer,1969,0,2021-02-01,03:37:21.047000,2021-02-01 03:37:21.047
1084,2021-02-01 03:44:34.0410,2021-02-01 04:02:38.5800,346,Bank St & Hudson St,40.73652889,-74.00618026,3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,44700,Subscriber,1975,1,2021-02-01,03:44:34.041000,2021-02-01 03:44:34.041
832,2021-02-01 03:57:08.2050,2021-02-01 04:11:00.8940,3709,W 15 St & 6 Ave,40.73804614248277,-73.99642959237099,477,W 41 St & 8 Ave,40.75640548,-73.9900262,46485,Subscriber,1971,1,2021-02-01,03:57:08.205000,2021-02-01 03:57:08.205
520,2021-02-01 04:11:09.1150,2021-02-01 04:19:50.0650,3996,Lexington Ave & E 128 St,40.806414000000004,-73.93608499999999,3425,2 Ave & E 104 St,40.789210499999996,-73.94370784,48965,Subscriber,1999,1,2021-02-01,04:11:09.115000,2021-02-01 04:11:09.115
1279,2021-02-01 04:20:20.3640,2021-02-01 04:41:40.2710,3953,W 147 St & Adam Clayton Powell Blvd,40.82281,-73.937413,4251,Nelson Ave & 167 St,40.83670566862804,-73.92608866095544,35579,Subscriber,1990,1,2021-02-01,04:20:20.364000,2021-02-01 04:20:20.364
1946,2021-02-01 04:24:56.6800,2021-02-01 04:57:22.9620,3709,W 15 St & 6 Ave,40.73804614248277,-73.99642959237099,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,49153,Subscriber,1971,1,2021-02-01,04:24:56.680000,2021-02-01 04:24:56.680
3003,2021-02-01 04:31:06.9200,2021-02-01 05:21:10.6740,3755,DeKalb Ave & Franklin Ave,40.69064807082943,-73.95746178925037,372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,29043,Subscriber,1965,1,2021-02-01,04:31:06.920000,2021-02-01 04:31:06.920
