station id,station name,station latitude,station longitude,Station Type
3370,E 78 St & 2 Ave,40.7727966,-73.95577801,start
3906,West St & Liberty St,40.711444,-74.014847,start
3411,Bond St & Bergen St,40.6849668,-73.98620772,start
224,Spruce St & Nassau St,40.71146364,-74.00552427,start
3147,E 85 St & 3 Ave,40.77801203,-73.95407149,start
3486,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,start
3916,Pearl St & Peck Slip,40.708484999999996,-74.002751,start
453,W 22 St & 8 Ave,40.74475148,-73.99915362,start
3799,6 Ave & W 34 St,40.74964,-73.98805,start
3739,Perry St & Greenwich Ave,40.735918,-74.000939,start
3520,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,start
295,Pike St & E Broadway,40.71406667,-73.99293911,start
4279,E 54 St & 1 Ave,40.756265,-73.964179,start
334,W 20 St & 7 Ave,40.74238787,-73.99726235,start
3122,48 Ave & 5 St,40.74436328706688,-73.95587325096129,start
119,Park Ave & St Edwards St,40.69608941,-73.97803415,start
116,W 17 St & 8 Ave,40.74177603,-74.00149746,start
426,West St & Chambers St,40.71754834,-74.01322069,start
3287,W 87 St & West End Ave,40.789621999999994,-73.97757,start
4321,21 Ave & Crescent St,40.780478,-73.912212,start
308,St James Pl & Oliver St,40.71307916,-73.99851193,start
461,E 20 St & 2 Ave,40.73587678,-73.98205027,start
476,E 31 St & 3 Ave,40.74394314,-73.97966069,start
340,Madison St & Clinton St,40.71269042,-73.98776323,start
3749,Lexington Ave & E 36 St,40.747573958954796,-73.97880077362059,start
281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465,start
3082,Hope St & Union Ave,40.71167351,-73.95141312,start
372,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,start
457,Broadway & W 58 St,40.76695317,-73.98169333,start
466,W 25 St & 6 Ave,40.74395411,-73.99144871,start
3664,North Moore St & Greenwich St,40.72019521437465,-74.0103006362915,start
504,1 Ave & E 16 St,40.73221853,-73.98165557,start
3409,Bergen St & Smith St,40.686744299999994,-73.99063168,start
3123,31 St & Thomson Ave,40.74469738,-73.93540375,start
3618,27 St & Hunter St,40.7485,-73.941275,start
389,Broadway & Berry St,40.71044554,-73.96525063,start
377,6 Ave & Canal St,40.72243797,-74.00566443,start
3715,Driggs Ave & N 9 St,40.71816969454208,-73.95520135760306,start
447,8 Ave & W 52 St,40.76370739,-73.9851615,start
3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,start
335,Washington Pl & Broadway,40.72903917,-73.99404649,start
3507,Park Ave & E 124 St,40.8045555,-73.93968609999999,start
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,start
3378,E 76 St & Park Ave,40.773763,-73.96222088,start
3158,W 63 St & Broadway,40.77163851,-73.98261428,start
